province,electorialDistrictNumber,party,points
กรุงเทพมหานคร,10,ชาติพัฒนากล้า,245
กรุงเทพมหานคร,10,ชาติไทยพัฒนา,227
กรุงเทพมหานคร,10,พลังท้องถิ่นไท,183
กรุงเทพมหานคร,10,ประชาชาติ,164
กรุงเทพมหานคร,10,เพื่อชาติ,129
กรุงเทพมหานคร,10,ประชาชนปฏิรูป,126
กรุงเทพมหานคร,10,สยามพัฒนา,113
กรุงเทพมหานคร,10,ประชานิยม,107
กรุงเทพมหานคร,10,ประชาภิวัฒน์,88
กรุงเทพมหานคร,10,ภราดรภาพ,65
กรุงเทพมหานคร,10,ครูไทยเพื่อประชาชน,64
กรุงเทพมหานคร,10,ไทรักธรรม,60
กรุงเทพมหานคร,10,แผ่นดินธรรม,40
กรุงเทพมหานคร,10,พลังชาติไทย,38
กรุงเทพมหานคร,10,ประชาธิปไตยใหม่,35
กรุงเทพมหานคร,10,ประชาธรรมไทย,28
กรุงเทพมหานคร,10,ภาคีเครือข่ายไทย,26
กรุงเทพมหานคร,10,ประชาไทย,16
กรุงเทพมหานคร,10,มติประชา,8
กรุงเทพมหานคร,11,เพื่อไทย,34679
กรุงเทพมหานคร,11,ก้าวไกล,25098
กรุงเทพมหานคร,11,ประชาธิปัตย์,24815
กรุงเทพมหานคร,11,พลังประชารัฐ,18960
กรุงเทพมหานคร,11,เศรษฐกิจใหม่,4141
กรุงเทพมหานคร,11,เสรีรวมไทย,2363
กรุงเทพมหานคร,11,ภูมิใจไทย,661
กรุงเทพมหานคร,11,รักษ์ผืนป่าประเทศไทย,361
กรุงเทพมหานคร,11,เพื่อชาติ,354
กรุงเทพมหานคร,11,รวมพลังประชาชาติไทย,336
กรุงเทพมหานคร,11,ประชาชนปฏิรูป,217
กรุงเทพมหานคร,11,ประชาชาติ,173
กรุงเทพมหานคร,11,ชาติไทยพัฒนา,173
กรุงเทพมหานคร,11,ไทยศรีวิไลย์,160
กรุงเทพมหานคร,11,ชาติพัฒนากล้า,130
กรุงเทพมหานคร,11,พลังท้องถิ่นไท,124
กรุงเทพมหานคร,11,ประชาธิปไตยใหม่,84
กรุงเทพมหานคร,11,ประชาภิวัฒน์,78
กรุงเทพมหานคร,11,พลังชาติไทย,72
กรุงเทพมหานคร,11,ประชานิยม,69
กรุงเทพมหานคร,11,พลังธรรมใหม่,64
กรุงเทพมหานคร,11,พลังศรัทธา,62
กรุงเทพมหานคร,11,ภราดรภาพ,40
กรุงเทพมหานคร,11,ครูไทยเพื่อประชาชน,38
กรุงเทพมหานคร,11,สามัญชน,37
กรุงเทพมหานคร,11,ประชาธรรมไทย,33
กรุงเทพมหานคร,11,ภาคีเครือข่ายไทย,26
กรุงเทพมหานคร,11,ประชาไทย,23
กรุงเทพมหานคร,11,พลังปวงชนไทย,19
กรุงเทพมหานคร,11,พลังไทสร้างชาติ,18
กรุงเทพมหานคร,12,เพื่อไทย,30254
กรุงเทพมหานคร,12,ก้าวไกล,27629
กรุงเทพมหานคร,12,พลังประชารัฐ,27571
กรุงเทพมหานคร,12,ประชาธิปัตย์,11075
กรุงเทพมหานคร,12,เศรษฐกิจใหม่,5174
กรุงเทพมหานคร,12,ภูมิใจไทย,4057
กรุงเทพมหานคร,12,เสรีรวมไทย,2394
กรุงเทพมหานคร,12,รวมพลังประชาชาติไทย,625
กรุงเทพมหานคร,12,รักษ์ผืนป่าประเทศไทย,510
กรุงเทพมหานคร,12,พลังท้องถิ่นไท,436
กรุงเทพมหานคร,12,ชาติไทยพัฒนา,345
กรุงเทพมหานคร,12,เพื่อชาติ,304
กรุงเทพมหานคร,12,ชาติพัฒนากล้า,181
กรุงเทพมหานคร,12,ประชากรไทย,145
กรุงเทพมหานคร,12,ประชาชนปฏิรูป,143
กรุงเทพมหานคร,12,พลังธรรมใหม่,139
กรุงเทพมหานคร,12,ประชาชาติ,127
กรุงเทพมหานคร,12,ประชาภิวัฒน์,118
กรุงเทพมหานคร,12,ประชาธิปไตยใหม่,106
กรุงเทพมหานคร,12,พลังไทยรักไทย,78
กรุงเทพมหานคร,12,ประชาไทย,63
กรุงเทพมหานคร,12,ทางเลือกใหม่,58
กรุงเทพมหานคร,12,ประชาธรรมไทย,56
กรุงเทพมหานคร,12,ครูไทยเพื่อประชาชน,47
กรุงเทพมหานคร,12,ประชานิยม,41
กรุงเทพมหานคร,12,พลังชาติไทย,41
กรุงเทพมหานคร,12,ภาคีเครือข่ายไทย,37
กรุงเทพมหานคร,12,มหาชน,30
กรุงเทพมหานคร,12,ภราดรภาพ,30
กรุงเทพมหานคร,12,พลังปวงชนไทย,30
กรุงเทพมหานคร,12,พลังไทสร้างชาติ,28
กรุงเทพมหานคร,12,เพื่อแผ่นดิน,27
กรุงเทพมหานคร,12,มติประชา,16
กรุงเทพมหานคร,13,พลังประชารัฐ,27417
กรุงเทพมหานคร,13,เพื่อไทย,23874
กรุงเทพมหานคร,13,ก้าวไกล,23652
กรุงเทพมหานคร,13,ประชาธิปัตย์,17974
กรุงเทพมหานคร,13,เศรษฐกิจใหม่,4795
กรุงเทพมหานคร,13,เสรีรวมไทย,2101
กรุงเทพมหานคร,13,ประชาชาติ,1513
กรุงเทพมหานคร,13,ภูมิใจไทย,918
กรุงเทพมหานคร,13,รวมพลังประชาชาติไทย,677
กรุงเทพมหานคร,13,รักษ์ผืนป่าประเทศไทย,331
กรุงเทพมหานคร,13,เพื่อชาติ,250
กรุงเทพมหานคร,13,ชาติไทยพัฒนา,236
กรุงเทพมหานคร,13,ประชาชนปฏิรูป,178
กรุงเทพมหานคร,13,พลังท้องถิ่นไท,151
กรุงเทพมหานคร,13,ชาติพัฒนากล้า,128
กรุงเทพมหานคร,13,พลังธรรมใหม่,127
กรุงเทพมหานคร,13,พลังประชาธิปไตย,99
กรุงเทพมหานคร,13,ประชาภิวัฒน์,92
กรุงเทพมหานคร,13,พลังไทยรักไทย,80
กรุงเทพมหานคร,13,พลเมืองไทย,75
กรุงเทพมหานคร,13,ทางเลือกใหม่,69
กรุงเทพมหานคร,13,ประชาธิปไตยใหม่,57
กรุงเทพมหานคร,13,เพื่อแผ่นดิน,52
กรุงเทพมหานคร,13,ครูไทยเพื่อประชาชน,48
กรุงเทพมหานคร,13,ประชานิยม,37
กรุงเทพมหานคร,13,ภราดรภาพ,32
กรุงเทพมหานคร,13,พลังชาติไทย,26
กรุงเทพมหานคร,13,ไทรักธรรม,26
กรุงเทพมหานคร,13,พลังปวงชนไทย,25
กรุงเทพมหานคร,13,มหาชน,21
กรุงเทพมหานคร,13,ประชาธรรมไทย,13
กรุงเทพมหานคร,14,เพื่อไทย,31445
กรุงเทพมหานคร,14,พลังประชารัฐ,25908
กรุงเทพมหานคร,14,ก้าวไกล,24461
กรุงเทพมหานคร,14,ประชาธิปัตย์,13375
กรุงเทพมหานคร,14,รวมพลังประชาชาติไทย,5518
กรุงเทพมหานคร,14,เศรษฐกิจใหม่,4767
กรุงเทพมหานคร,14,เสรีรวมไทย,2424
กรุงเทพมหานคร,14,ภูมิใจไทย,1332
กรุงเทพมหานคร,14,รักษ์ผืนป่าประเทศไทย,368
กรุงเทพมหานคร,14,ประชาชนปฏิรูป,230
กรุงเทพมหานคร,14,ชาติไทยพัฒนา,225
กรุงเทพมหานคร,14,ประชาชาติ,206
กรุงเทพมหานคร,14,ไทยศรีวิไลย์,202
กรุงเทพมหานคร,14,อนาคตไทย,198
กรุงเทพมหานคร,14,ชาติพัฒนากล้า,159
กรุงเทพมหานคร,14,เพื่อชาติ,140
กรุงเทพมหานคร,14,พลังประชาธิปไตย,134
กรุงเทพมหานคร,14,พลังท้องถิ่นไท,129
กรุงเทพมหานคร,14,พลังธรรมใหม่,85
กรุงเทพมหานคร,14,ประชาภิวัฒน์,80
กรุงเทพมหานคร,14,พลังชาติไทย,71
กรุงเทพมหานคร,14,ประชาธิปไตยใหม่,53
กรุงเทพมหานคร,14,พลเมืองไทย,50
กรุงเทพมหานคร,14,ครูไทยเพื่อประชาชน,48
กรุงเทพมหานคร,14,ภราดรภาพ,44
กรุงเทพมหานคร,14,ประชานิยม,44
กรุงเทพมหานคร,14,ประชาธรรมไทย,44
กรุงเทพมหานคร,14,มหาชน,35
กรุงเทพมหานคร,14,ไทรักธรรม,27
กรุงเทพมหานคร,14,ถิ่นกาขาวชาววิไล,20
กรุงเทพมหานคร,14,พลังไทสร้างชาติ,19
กรุงเทพมหานคร,14,ภาคีเครือข่ายไทย,10
กรุงเทพมหานคร,15,พลังประชารัฐ,31551
กรุงเทพมหานคร,15,เพื่อไทย,30123
กรุงเทพมหานคร,15,ก้าวไกล,21186
กรุงเทพมหานคร,15,ประชาธิปัตย์,8949
กรุงเทพมหานคร,15,เศรษฐกิจใหม่,3557
กรุงเทพมหานคร,15,เสรีรวมไทย,1925
กรุงเทพมหานคร,15,ภูมิใจไทย,627
กรุงเทพมหานคร,15,รวมพลังประชาชาติไทย,367
กรุงเทพมหานคร,15,ประชาชาติ,320
กรุงเทพมหานคร,15,ชาติพัฒนากล้า,260
กรุงเทพมหานคร,15,ประชาภิวัฒน์,219
กรุงเทพมหานคร,15,ไทยศรีวิไลย์,209
กรุงเทพมหานคร,15,เพื่อชาติ,169
กรุงเทพมหานคร,15,ชาติไทยพัฒนา,119
กรุงเทพมหานคร,15,พลังประชาธิปไตย,116
กรุงเทพมหานคร,15,ประชาชนปฏิรูป,111
กรุงเทพมหานคร,15,พลังปวงชนไทย,90
กรุงเทพมหานคร,15,มหาชน,81
กรุงเทพมหานคร,15,ประชานิยม,77
กรุงเทพมหานคร,15,พลังท้องถิ่นไท,76
กรุงเทพมหานคร,15,พลังชาติไทย,71
กรุงเทพมหานคร,15,ไทรักธรรม,50
กรุงเทพมหานคร,15,พลเมืองไทย,34
กรุงเทพมหานคร,15,ภาคีเครือข่ายไทย,32
กรุงเทพมหานคร,15,ครูไทยเพื่อประชาชน,26
กรุงเทพมหานคร,15,กลาง,24
กรุงเทพมหานคร,15,ภราดรภาพ,19
กรุงเทพมหานคร,15,ประชาธิปไตยใหม่,17
กรุงเทพมหานคร,15,พลังสังคม,16
กรุงเทพมหานคร,15,พลังรัก,15
กรุงเทพมหานคร,15,ถิ่นกาขาวชาววิไล,11
กรุงเทพมหานคร,16,เพื่อไทย,31481
กรุงเทพมหานคร,16,พลังประชารัฐ,29304
กรุงเทพมหานคร,16,ก้าวไกล,26352
กรุงเทพมหานคร,16,ประชาธิปัตย์,10683
กรุงเทพมหานคร,16,เศรษฐกิจใหม่,4389
กรุงเทพมหานคร,16,เสรีรวมไทย,2652
กรุงเทพมหานคร,16,รวมพลังประชาชาติไทย,1241
กรุงเทพมหานคร,16,ภูมิใจไทย,876
กรุงเทพมหานคร,16,ชาติพัฒนากล้า,363
กรุงเทพมหานคร,16,ประชาชาติ,329
กรุงเทพมหานคร,16,รักษ์ผืนป่าประเทศไทย,281
กรุงเทพมหานคร,16,ชาติไทยพัฒนา,245
กรุงเทพมหานคร,16,ประชาชนปฏิรูป,145
กรุงเทพมหานคร,16,พลังท้องถิ่นไท,134
กรุงเทพมหานคร,16,ประชาธิปไตยใหม่,116
กรุงเทพมหานคร,16,เพื่อชาติ,108
กรุงเทพมหานคร,16,ประชาภิวัฒน์,106
กรุงเทพมหานคร,16,พลังไทยรักไทย,106
กรุงเทพมหานคร,16,ครูไทยเพื่อประชาชน,97
กรุงเทพมหานคร,16,แผ่นดินธรรม,94
กรุงเทพมหานคร,16,พลังชาติไทย,78
กรุงเทพมหานคร,16,พลังปวงชนไทย,78
กรุงเทพมหานคร,16,พลังไทยรักชาติ,73
กรุงเทพมหานคร,16,ประชานิยม,72
กรุงเทพมหานคร,16,ภาคีเครือข่ายไทย,71
กรุงเทพมหานคร,16,ภราดรภาพ,69
กรุงเทพมหานคร,16,พลังธรรมใหม่,52
กรุงเทพมหานคร,16,ประชาธรรมไทย,40
กรุงเทพมหานคร,16,ถิ่นกาขาวชาววิไล,33
กรุงเทพมหานคร,16,มหาชน,29
กรุงเทพมหานคร,16,พลังไทสร้างชาติ,19
กรุงเทพมหานคร,17,พลังประชารัฐ,25329
กรุงเทพมหานคร,17,เพื่อไทย,24610
กรุงเทพมหานคร,17,ก้าวไกล,18391
กรุงเทพมหานคร,17,ประชาธิปัตย์,8868
กรุงเทพมหานคร,17,รวมพลังประชาชาติไทย,7190
กรุงเทพมหานคร,17,เศรษฐกิจใหม่,2070
กรุงเทพมหานคร,17,เสรีรวมไทย,1781
กรุงเทพมหานคร,17,ประชาชาติ,732
กรุงเทพมหานคร,17,พลังประชาธิปไตย,306
กรุงเทพมหานคร,17,รักษ์ผืนป่าประเทศไทย,223
กรุงเทพมหานคร,17,ไทยศรีวิไลย์,179
กรุงเทพมหานคร,17,ประชาธรรมไทย,174
กรุงเทพมหานคร,17,พลังปวงชนไทย,159
กรุงเทพมหานคร,17,พลังท้องถิ่นไท,142
กรุงเทพมหานคร,17,กลาง,126
กรุงเทพมหานคร,17,พลังไทยรักชาติ,121
กรุงเทพมหานคร,17,เพื่อชาติ,108
กรุงเทพมหานคร,17,ชาติไทยพัฒนา,96
กรุงเทพมหานคร,17,พลังธรรมใหม่,89
กรุงเทพมหานคร,17,ชาติพัฒนากล้า,88
กรุงเทพมหานคร,17,ประชานิยม,67
กรุงเทพมหานคร,17,ประชากรไทย,65
กรุงเทพมหานคร,17,ประชาชนปฏิรูป,60
กรุงเทพมหานคร,17,ครูไทยเพื่อประชาชน,58
กรุงเทพมหานคร,17,ประชาธิปไตยใหม่,56
กรุงเทพมหานคร,17,พลังชาติไทย,41
กรุงเทพมหานคร,17,ภราดรภาพ,37
กรุงเทพมหานคร,17,ประชาภิวัฒน์,32
กรุงเทพมหานคร,17,ไทรักธรรม,32
กรุงเทพมหานคร,17,พลังไทสร้างชาติ,30
กรุงเทพมหานคร,17,แทนคุณแผ่นดิน,28
กรุงเทพมหานคร,17,ภาคีเครือข่ายไทย,15
กรุงเทพมหานคร,17,มหาชน,13
กรุงเทพมหานคร,17,ถิ่นกาขาวชาววิไล,12
กรุงเทพมหานคร,18,เพื่อไทย,35361
กรุงเทพมหานคร,18,ก้าวไกล,22346
กรุงเทพมหานคร,18,พลังประชารัฐ,20739
กรุงเทพมหานคร,18,ประชาธิปัตย์,7295
กรุงเทพมหานคร,18,เศรษฐกิจใหม่,3119
กรุงเทพมหานคร,18,เสรีรวมไทย,2143
กรุงเทพมหานคร,18,รวมพลังประชาชาติไทย,955
กรุงเทพมหานคร,18,ภูมิใจไทย,603
กรุงเทพมหานคร,18,ชาติไทยพัฒนา,275
กรุงเทพมหานคร,18,ไทยศรีวิไลย์,275
กรุงเทพมหานคร,18,เพื่อชาติ,256
กรุงเทพมหานคร,18,ประชาชาติ,229
กรุงเทพมหานคร,18,รักษ์ผืนป่าประเทศไทย,214
กรุงเทพมหานคร,18,ชาติพัฒนากล้า,180
กรุงเทพมหานคร,18,พลังท้องถิ่นไท,179
กรุงเทพมหานคร,18,ครูไทยเพื่อประชาชน,137
กรุงเทพมหานคร,18,พลเมืองไทย,124
กรุงเทพมหานคร,18,พลังธรรมใหม่,105
กรุงเทพมหานคร,18,ประชาธิปไตยใหม่,72
กรุงเทพมหานคร,18,ประชาชนปฏิรูป,71
กรุงเทพมหานคร,18,ประชาภิวัฒน์,69
กรุงเทพมหานคร,18,พลังชาติไทย,59
กรุงเทพมหานคร,18,ประชานิยม,58
กรุงเทพมหานคร,18,ประชาธรรมไทย,47
กรุงเทพมหานคร,18,พลังไทสร้างชาติ,30
กรุงเทพมหานคร,18,มหาชน,28
กรุงเทพมหานคร,18,ภราดรภาพ,22
กรุงเทพมหานคร,18,ไทรักธรรม,19
กรุงเทพมหานคร,18,ภาคีเครือข่ายไทย,15
กรุงเทพมหานคร,19,พลังประชารัฐ,28203
กรุงเทพมหานคร,19,ก้าวไกล,23554
กรุงเทพมหานคร,19,เพื่อไทย,21839
กรุงเทพมหานคร,19,ประชาธิปัตย์,16284
กรุงเทพมหานคร,19,เศรษฐกิจใหม่,5082
กรุงเทพมหานคร,19,เสรีรวมไทย,2094
กรุงเทพมหานคร,19,รวมพลังประชาชาติไทย,957
กรุงเทพมหานคร,19,ภูมิใจไทย,767
กรุงเทพมหานคร,19,ประชาชาติ,352
กรุงเทพมหานคร,19,รักษ์ผืนป่าประเทศไทย,341
กรุงเทพมหานคร,19,ชาติพัฒนากล้า,211
กรุงเทพมหานคร,19,ชาติไทยพัฒนา,174
กรุงเทพมหานคร,19,ประชาชนปฏิรูป,171
กรุงเทพมหานคร,19,เพื่อชาติ,168
กรุงเทพมหานคร,19,ประชาภิวัฒน์,105
กรุงเทพมหานคร,19,พลังธรรมใหม่,102
