,จังหวัด,เขต,พรรค,ผลคะแนน,ภาค
ประชาธิปัตย์,กรุงเทพมหานคร,5,ประชาธิปัตย์,18711,กรุงเทพ
เศรษฐกิจใหม่,กรุงเทพมหานคร,5,เศรษฐกิจใหม่,5707,กรุงเทพ
เสรีรวมไทย,กรุงเทพมหานคร,5,เสรีรวมไทย,2583,กรุงเทพ
ภูมิใจไทย,กรุงเทพมหานคร,5,ภูมิใจไทย,746,กรุงเทพ
รวมพลังประชาชาติไทย,กรุงเทพมหานคร,5,รวมพลังประชาชาติไทย,603,กรุงเทพ
ชาติไทยพัฒนา,กรุงเทพมหานคร,5,ชาติไทยพัฒนา,436,กรุงเทพ
รักษ์ผืนป่าประเทศไทย,กรุงเทพมหานคร,5,รักษ์ผืนป่าประเทศไทย,369,กรุงเทพ
ชาติพัฒนา,กรุงเทพมหานคร,5,ชาติพัฒนา,291,กรุงเทพ
เพื่อชาติ,กรุงเทพมหานคร,5,เพื่อชาติ,221,กรุงเทพ
ไทยศรีวิไลย์,กรุงเทพมหานคร,5,ไทยศรีวิไลย์,209,กรุงเทพ
ชาติพันธุ์ไทย,กรุงเทพมหานคร,5,ชาติพันธุ์ไทย,164,กรุงเทพ
ประชาชาติ,กรุงเทพมหานคร,5,ประชาชาติ,140,กรุงเทพ
ประชาธิปไตยใหม่,กรุงเทพมหานคร,5,ประชาธิปไตยใหม่,107,กรุงเทพ
พลังชาติไทย,กรุงเทพมหานคร,5,พลังชาติไทย,104,กรุงเทพ
ประชาภิวัฒน์,กรุงเทพมหานคร,5,ประชาภิวัฒน์,97,กรุงเทพ
พลังสังคม,กรุงเทพมหานคร,5,พลังสังคม,97,กรุงเทพ
พลังธรรมใหม่,กรุงเทพมหานคร,5,พลังธรรมใหม่,92,กรุงเทพ
พลังท้องถิ่นไท,กรุงเทพมหานคร,5,พลังท้องถิ่นไท,86,กรุงเทพ
พลังประชาธิปไตย,กรุงเทพมหานคร,5,พลังประชาธิปไตย,82,กรุงเทพ
พลังไทยรักไทย,กรุงเทพมหานคร,5,พลังไทยรักไทย,77,กรุงเทพ
ครูไทยเพื่อประชาชน,กรุงเทพมหานคร,5,ครูไทยเพื่อประชาชน,56,กรุงเทพ
ภราดรภาพ,กรุงเทพมหานคร,5,ภราดรภาพ,38,กรุงเทพ
ประชานิยม,กรุงเทพมหานคร,5,ประชานิยม,38,กรุงเทพ
มหาชน,กรุงเทพมหานคร,5,มหาชน,30,กรุงเทพ
ภาคีเครือข่ายไทย,กรุงเทพมหานคร,5,ภาคีเครือข่ายไทย,24,กรุงเทพ
ประชาธรรมไทย,กรุงเทพมหานคร,5,ประชาธรรมไทย,16,กรุงเทพ
พลังปวงชนไทย,กรุงเทพมหานคร,5,พลังปวงชนไทย,14,กรุงเทพ
มติประชา,กรุงเทพมหานคร,5,มติประชา,9,กรุงเทพ
พลังประชารัฐ,กรุงเทพมหานคร,6,พลังประชารัฐ,28690,กรุงเทพ
อนาคตใหม่,กรุงเทพมหานคร,6,อนาคตใหม่,23980,กรุงเทพ
เพื่อไทย,กรุงเทพมหานคร,6,เพื่อไทย,22275,กรุงเทพ
ประชาธิปัตย์,กรุงเทพมหานคร,6,ประชาธิปัตย์,16525,กรุงเทพ
เศรษฐกิจใหม่,กรุงเทพมหานคร,6,เศรษฐกิจใหม่,5416,กรุงเทพ
เสรีรวมไทย,กรุงเทพมหานคร,6,เสรีรวมไทย,2471,กรุงเทพ
ภูมิใจไทย,กรุงเทพมหานคร,6,ภูมิใจไทย,1101,กรุงเทพ
รวมพลังประชาชาติไทย,กรุงเทพมหานคร,6,รวมพลังประชาชาติไทย,811,กรุงเทพ
รักษ์ผืนป่าประเทศไทย,กรุงเทพมหานคร,6,รักษ์ผืนป่าประเทศไทย,429,กรุงเทพ
พลังท้องถิ่นไท,กรุงเทพมหานคร,6,พลังท้องถิ่นไท,384,กรุงเทพ
ชาติไทยพัฒนา,กรุงเทพมหานคร,6,ชาติไทยพัฒนา,276,กรุงเทพ
ประชาชนปฏิรูป,กรุงเทพมหานคร,6,ประชาชนปฏิรูป,263,กรุงเทพ
ชาติพัฒนา,กรุงเทพมหานคร,6,ชาติพัฒนา,224,กรุงเทพ
ไทยศรีวิไลย์,กรุงเทพมหานคร,6,ไทยศรีวิไลย์,164,กรุงเทพ
ภราดรภาพ,กรุงเทพมหานคร,6,ภราดรภาพ,117,กรุงเทพ
ประชาชาติ,กรุงเทพมหานคร,6,ประชาชาติ,115,กรุงเทพ
เพื่อชาติ,กรุงเทพมหานคร,6,เพื่อชาติ,102,กรุงเทพ
พลังชาติไทย,กรุงเทพมหานคร,6,พลังชาติไทย,75,กรุงเทพ
ประชานิยม,กรุงเทพมหานคร,6,ประชานิยม,66,กรุงเทพ
พลเมืองไทย,กรุงเทพมหานคร,6,พลเมืองไทย,63,กรุงเทพ
พลังรัก,กรุงเทพมหานคร,6,พลังรัก,59,กรุงเทพ
มหาชน,กรุงเทพมหานคร,6,มหาชน,49,กรุงเทพ
ประชาธิปไตยใหม่,กรุงเทพมหานคร,6,ประชาธิปไตยใหม่,44,กรุงเทพ
เพื่อแผ่นดิน,กรุงเทพมหานคร,6,เพื่อแผ่นดิน,39,กรุงเทพ
ครูไทยเพื่อประชาชน,กรุงเทพมหานคร,6,ครูไทยเพื่อประชาชน,38,กรุงเทพ
ประชาภิวัฒน์,กรุงเทพมหานคร,6,ประชาภิวัฒน์,36,กรุงเทพ
พลังปวงชนไทย,กรุงเทพมหานคร,6,พลังปวงชนไทย,33,กรุงเทพ
พลังไทสร้างชาติ,กรุงเทพมหานคร,6,พลังไทสร้างชาติ,16,กรุงเทพ
มติประชา,กรุงเทพมหานคร,6,มติประชา,15,กรุงเทพ
ภาคีเครือข่ายไทย,กรุงเทพมหานคร,6,ภาคีเครือข่ายไทย,3,กรุงเทพ
พลังประชารัฐ,กรุงเทพมหานคร,7,พลังประชารัฐ,25180,กรุงเทพ
เพื่อไทย,กรุงเทพมหานคร,7,เพื่อไทย,23998,กรุงเทพ
อนาคตใหม่,กรุงเทพมหานคร,7,อนาคตใหม่,21339,กรุงเทพ
ประชาธิปัตย์,กรุงเทพมหานคร,7,ประชาธิปัตย์,12896,กรุงเทพ
พลังท้องถิ่นไท,กรุงเทพมหานคร,7,พลังท้องถิ่นไท,5160,กรุงเทพ
เศรษฐกิจใหม่,กรุงเทพมหานคร,7,เศรษฐกิจใหม่,3848,กรุงเทพ
เสรีรวมไทย,กรุงเทพมหานคร,7,เสรีรวมไทย,2006,กรุงเทพ
ภูมิใจไทย,กรุงเทพมหานคร,7,ภูมิใจไทย,1003,กรุงเทพ
รวมพลังประชาชาติไทย,กรุงเทพมหานคร,7,รวมพลังประชาชาติไทย,658,กรุงเทพ
รักษ์ผืนป่าประเทศไทย,กรุงเทพมหานคร,7,รักษ์ผืนป่าประเทศไทย,476,กรุงเทพ
เพื่อชาติ,กรุงเทพมหานคร,7,เพื่อชาติ,426,กรุงเทพ
ประชาชาติ,กรุงเทพมหานคร,7,ประชาชาติ,259,กรุงเทพ
ชาติไทยพัฒนา,กรุงเทพมหานคร,7,ชาติไทยพัฒนา,242,กรุงเทพ
ไทยศรีวิไลย์,กรุงเทพมหานคร,7,ไทยศรีวิไลย์,238,กรุงเทพ
ชาติพัฒนา,กรุงเทพมหานคร,7,ชาติพัฒนา,224,กรุงเทพ
ประชาชนปฏิรูป,กรุงเทพมหานคร,7,ประชาชนปฏิรูป,164,กรุงเทพ
ประชาภิวัฒน์,กรุงเทพมหานคร,7,ประชาภิวัฒน์,123,กรุงเทพ
ประชานิยม,กรุงเทพมหานคร,7,ประชานิยม,97,กรุงเทพ
ภราดรภาพ,กรุงเทพมหานคร,7,ภราดรภาพ,92,กรุงเทพ
พลังชาติไทย,กรุงเทพมหานคร,7,พลังชาติไทย,89,กรุงเทพ
เพื่อแผ่นดิน,กรุงเทพมหานคร,7,เพื่อแผ่นดิน,81,กรุงเทพ
กลาง,กรุงเทพมหานคร,7,กลาง,59,กรุงเทพ
ประชากรไทย,กรุงเทพมหานคร,7,ประชากรไทย,58,กรุงเทพ
ครูไทยเพื่อประชาชน,กรุงเทพมหานคร,7,ครูไทยเพื่อประชาชน,39,กรุงเทพ
ไทรักธรรม,กรุงเทพมหานคร,7,ไทรักธรรม,32,กรุงเทพ
พลังศรัทธา,กรุงเทพมหานคร,7,พลังศรัทธา,30,กรุงเทพ
แผ่นดินธรรม,กรุงเทพมหานคร,7,แผ่นดินธรรม,30,กรุงเทพ
มหาชน,กรุงเทพมหานคร,7,มหาชน,26,กรุงเทพ
พลังปวงชนไทย,กรุงเทพมหานคร,7,พลังปวงชนไทย,20,กรุงเทพ
ประชาธรรมไทย,กรุงเทพมหานคร,7,ประชาธรรมไทย,20,กรุงเทพ
มติประชา,กรุงเทพมหานคร,7,มติประชา,13,กรุงเทพ
พลังประชารัฐ,กรุงเทพมหานคร,8,พลังประชารัฐ,29090,กรุงเทพ
เพื่อไทย,กรุงเทพมหานคร,8,เพื่อไทย,26122,กรุงเทพ
อนาคตใหม่,กรุงเทพมหานคร,8,อนาคตใหม่,25656,กรุงเทพ
ประชาธิปัตย์,กรุงเทพมหานคร,8,ประชาธิปัตย์,15384,กรุงเทพ
เศรษฐกิจใหม่,กรุงเทพมหานคร,8,เศรษฐกิจใหม่,5661,กรุงเทพ
เสรีรวมไทย,กรุงเทพมหานคร,8,เสรีรวมไทย,2338,กรุงเทพ
ภูมิใจไทย,กรุงเทพมหานคร,8,ภูมิใจไทย,764,กรุงเทพ
รวมพลังประชาชาติไทย,กรุงเทพมหานคร,8,รวมพลังประชาชาติไทย,690,กรุงเทพ
ชาติไทยพัฒนา,กรุงเทพมหานคร,8,ชาติไทยพัฒนา,597,กรุงเทพ
รักษ์ผืนป่าประเทศไทย,กรุงเทพมหานคร,8,รักษ์ผืนป่าประเทศไทย,450,กรุงเทพ
เพื่อชาติ,กรุงเทพมหานคร,8,เพื่อชาติ,293,กรุงเทพ
ชาติพัฒนา,กรุงเทพมหานคร,8,ชาติพัฒนา,205,กรุงเทพ
ประชาชนปฏิรูป,กรุงเทพมหานคร,8,ประชาชนปฏิรูป,195,กรุงเทพ
ไทยศรีวิไลย์,กรุงเทพมหานคร,8,ไทยศรีวิไลย์,171,กรุงเทพ
ประชาธิปไตยใหม่,กรุงเทพมหานคร,8,ประชาธิปไตยใหม่,151,กรุงเทพ
พลังท้องถิ่นไท,กรุงเทพมหานคร,8,พลังท้องถิ่นไท,129,กรุงเทพ
ประชาภิวัฒน์,กรุงเทพมหานคร,8,ประชาภิวัฒน์,105,กรุงเทพ
ประชาชาติ,กรุงเทพมหานคร,8,ประชาชาติ,89,กรุงเทพ
พลังธรรมใหม่,กรุงเทพมหานคร,8,พลังธรรมใหม่,75,กรุงเทพ
มหาชน,กรุงเทพมหานคร,8,มหาชน,73,กรุงเทพ
กลาง,กรุงเทพมหานคร,8,กลาง,64,กรุงเทพ
ประชานิยม,กรุงเทพมหานคร,8,ประชานิยม,50,กรุงเทพ
ภราดรภาพ,กรุงเทพมหานคร,8,ภราดรภาพ,48,กรุงเทพ
ครูไทยเพื่อประชาชน,กรุงเทพมหานคร,8,ครูไทยเพื่อประชาชน,46,กรุงเทพ
ประชาธรรมไทย,กรุงเทพมหานคร,8,ประชาธรรมไทย,43,กรุงเทพ
พลังชาติไทย,กรุงเทพมหานคร,8,พลังชาติไทย,36,กรุงเทพ
พลังรัก,กรุงเทพมหานคร,8,พลังรัก,31,กรุงเทพ
พลังศรัทธา,กรุงเทพมหานคร,8,พลังศรัทธา,25,กรุงเทพ
พลเมืองไทย,กรุงเทพมหานคร,8,พลเมืองไทย,20,กรุงเทพ
ประชาไทย,กรุงเทพมหานคร,8,ประชาไทย,19,กรุงเทพ
ถิ่นกาขาวชาววิไล,กรุงเทพมหานคร,8,ถิ่นกาขาวชาววิไล,15,กรุงเทพ
ภาคีเครือข่ายไทย,กรุงเทพมหานคร,8,ภาคีเครือข่ายไทย,11,กรุงเทพ
มติประชา,กรุงเทพมหานคร,8,มติประชา,10,กรุงเทพ
พลังประชารัฐ,กรุงเทพมหานคร,9,พลังประชารัฐ,34907,กรุงเทพ
เพื่อไทย,กรุงเทพมหานคร,9,เพื่อไทย,32115,กรุงเทพ
อนาคตใหม่,กรุงเทพมหานคร,9,อนาคตใหม่,25735,กรุงเทพ
ประชาธิปัตย์,กรุงเทพมหานคร,9,ประชาธิปัตย์,16255,กรุงเทพ
เศรษฐกิจใหม่,กรุงเทพมหานคร,9,เศรษฐกิจใหม่,5873,กรุงเทพ
เสรีรวมไทย,กรุงเทพมหานคร,9,เสรีรวมไทย,2593,กรุงเทพ
ภูมิใจไทย,กรุงเทพมหานคร,9,ภูมิใจไทย,1666,กรุงเทพ
รวมพลังประชาชาติไทย,กรุงเทพมหานคร,9,รวมพลังประชาชาติไทย,760,กรุงเทพ
รักษ์ผืนป่าประเทศไทย,กรุงเทพมหานคร,9,รักษ์ผืนป่าประเทศไทย,578,กรุงเทพ
ชาติไทยพัฒนา,กรุงเทพมหานคร,9,ชาติไทยพัฒนา,380,กรุงเทพ
เพื่อชาติ,กรุงเทพมหานคร,9,เพื่อชาติ,348,กรุงเทพ
ชาติพัฒนา,กรุงเทพมหานคร,9,ชาติพัฒนา,241,กรุงเทพ
ประชาชนปฏิรูป,กรุงเทพมหานคร,9,ประชาชนปฏิรูป,237,กรุงเทพ
พลังท้องถิ่นไท,กรุงเทพมหานคร,9,พลังท้องถิ่นไท,170,กรุงเทพ
ประชาชาติ,กรุงเทพมหานคร,9,ประชาชาติ,147,กรุงเทพ
ประชากรไทย,กรุงเทพมหานคร,9,ประชากรไทย,98,กรุงเทพ
ประชานิยม,กรุงเทพมหานคร,9,ประชานิยม,81,กรุงเทพ
พลังประชาธิปไตย,กรุงเทพมหานคร,9,พลังประชาธิปไตย,71,กรุงเทพ
ครูไทยเพื่อประชาชน,กรุงเทพมหานคร,9,ครูไทยเพื่อประชาชน,59,กรุงเทพ
ประชาภิวัฒน์,กรุงเทพมหานคร,9,ประชาภิวัฒน์,58,กรุงเทพ
พลังสังคม,กรุงเทพมหานคร,9,พลังสังคม,55,กรุงเทพ
ภราดรภาพ,กรุงเทพมหานคร,9,ภราดรภาพ,54,กรุงเทพ
พลังชาติไทย,กรุงเทพมหานคร,9,พลังชาติไทย,52,กรุงเทพ
ประชาธรรมไทย,กรุงเทพมหานคร,9,ประชาธรรมไทย,49,กรุงเทพ
พลังไทสร้างชาติ,กรุงเทพมหานคร,9,พลังไทสร้างชาติ,46,กรุงเทพ
พลังปวงชนไทย,กรุงเทพมหานคร,9,พลังปวงชนไทย,41,กรุงเทพ
ภาคีเครือข่ายไทย,กรุงเทพมหานคร,9,ภาคีเครือข่ายไทย,38,กรุงเทพ
พลังศรัทธา,กรุงเทพมหานคร,9,พลังศรัทธา,25,กรุงเทพ
มติประชา,กรุงเทพมหานคร,9,มติประชา,23,กรุงเทพ
เพื่อไทย,กรุงเทพมหานคร,10,เพื่อไทย,30800,กรุงเทพ
พลังประชารัฐ,กรุงเทพมหานคร,10,พลังประชารัฐ,22067,กรุงเทพ
อนาคตใหม่,กรุงเทพมหานคร,10,อนาคตใหม่,22062,กรุงเทพ
ประชาธิปัตย์,กรุงเทพมหานคร,10,ประชาธิปัตย์,14061,กรุงเทพ
เสรีรวมไทย,กรุงเทพมหานคร,10,เสรีรวมไทย,2326,กรุงเทพ
รวมพลังประชาชาติไทย,กรุงเทพมหานคร,10,รวมพลังประชาชาติไทย,627,กรุงเทพ
รักษ์ผืนป่าประเทศไทย,กรุงเทพมหานคร,10,รักษ์ผืนป่าประเทศไทย,428,กรุงเทพ
ไทยศรีวิไลย์,กรุงเทพมหานคร,10,ไทยศรีวิไลย์,257,กรุงเทพ
ชาติพัฒนา,กรุงเทพมหานคร,10,ชาติพัฒนา,245,กรุงเทพ
ชาติไทยพัฒนา,กรุงเทพมหานคร,10,ชาติไทยพัฒนา,227,กรุงเทพ
พลังท้องถิ่นไท,กรุงเทพมหานคร,10,พลังท้องถิ่นไท,183,กรุงเทพ
ประชาชาติ,กรุงเทพมหานคร,10,ประชาชาติ,164,กรุงเทพ
เพื่อชาติ,กรุงเทพมหานคร,10,เพื่อชาติ,129,กรุงเทพ
ประชาชนปฏิรูป,กรุงเทพมหานคร,10,ประชาชนปฏิรูป,126,กรุงเทพ
สยามพัฒนา,กรุงเทพมหานคร,10,สยามพัฒนา,113,กรุงเทพ
ประชานิยม,กรุงเทพมหานคร,10,ประชานิยม,107,กรุงเทพ
ประชาภิวัฒน์,กรุงเทพมหานคร,10,ประชาภิวัฒน์,88,กรุงเทพ
ภราดรภาพ,กรุงเทพมหานคร,10,ภราดรภาพ,65,กรุงเทพ
ครูไทยเพื่อประชาชน,กรุงเทพมหานคร,10,ครูไทยเพื่อประชาชน,64,กรุงเทพ
ไทรักธรรม,กรุงเทพมหานคร,10,ไทรักธรรม,60,กรุงเทพ
แผ่นดินธรรม,กรุงเทพมหานคร,10,แผ่นดินธรรม,40,กรุงเทพ
พลังชาติไทย,กรุงเทพมหานคร,10,พลังชาติไทย,38,กรุงเทพ
ประชาธิปไตยใหม่,กรุงเทพมหานคร,10,ประชาธิปไตยใหม่,35,กรุงเทพ
ประชาธรรมไทย,กรุงเทพมหานคร,10,ประชาธรรมไทย,28,กรุงเทพ
ภาคีเครือข่ายไทย,กรุงเทพมหานคร,10,ภาคีเครือข่ายไทย,26,กรุงเทพ
ประชาไทย,กรุงเทพมหานคร,10,ประชาไทย,16,กรุงเทพ
มติประชา,กรุงเทพมหานคร,10,มติประชา,8,กรุงเทพ
เพื่อไทย,กรุงเทพมหานคร,11,เพื่อไทย,34679,กรุงเทพ
อนาคตใหม่,กรุงเทพมหานคร,11,อนาคตใหม่,25098,กรุงเทพ
ประชาธิปัตย์,กรุงเทพมหานคร,11,ประชาธิปัตย์,24815,กรุงเทพ
พลังประชารัฐ,กรุงเทพมหานคร,11,พลังประชารัฐ,18960,กรุงเทพ
เศรษฐกิจใหม่,กรุงเทพมหานคร,11,เศรษฐกิจใหม่,4141,กรุงเทพ
เสรีรวมไทย,กรุงเทพมหานคร,11,เสรีรวมไทย,2363,กรุงเทพ
ภูมิใจไทย,กรุงเทพมหานคร,11,ภูมิใจไทย,661,กรุงเทพ
รักษ์ผืนป่าประเทศไทย,กรุงเทพมหานคร,11,รักษ์ผืนป่าประเทศไทย,361,กรุงเทพ
เพื่อชาติ,กรุงเทพมหานคร,11,เพื่อชาติ,354,กรุงเทพ
รวมพลังประชาชาติไทย,กรุงเทพมหานคร,11,รวมพลังประชาชาติไทย,336,กรุงเทพ
ประชาชนปฏิรูป,กรุงเทพมหานคร,11,ประชาชนปฏิรูป,217,กรุงเทพ
ประชาชาติ,กรุงเทพมหานคร,11,ประชาชาติ,173,กรุงเทพ
ชาติไทยพัฒนา,กรุงเทพมหานคร,11,ชาติไทยพัฒนา,173,กรุงเทพ
ไทยศรีวิไลย์,กรุงเทพมหานคร,11,ไทยศรีวิไลย์,160,กรุงเทพ
ชาติพัฒนา,กรุงเทพมหานคร,11,ชาติพัฒนา,130,กรุงเทพ
พลังท้องถิ่นไท,กรุงเทพมหานคร,11,พลังท้องถิ่นไท,124,กรุงเทพ
ประชาธิปไตยใหม่,กรุงเทพมหานคร,11,ประชาธิปไตยใหม่,84,กรุงเทพ
ประชาภิวัฒน์,กรุงเทพมหานคร,11,ประชาภิวัฒน์,78,กรุงเทพ
พลังชาติไทย,กรุงเทพมหานคร,11,พลังชาติไทย,72,กรุงเทพ
ประชานิยม,กรุงเทพมหานคร,11,ประชานิยม,69,กรุงเทพ
พลังธรรมใหม่,กรุงเทพมหานคร,11,พลังธรรมใหม่,64,กรุงเทพ
พลังศรัทธา,กรุงเทพมหานคร,11,พลังศรัทธา,62,กรุงเทพ
ภราดรภาพ,กรุงเทพมหานคร,11,ภราดรภาพ,40,กรุงเทพ
ครูไทยเพื่อประชาชน,กรุงเทพมหานคร,11,ครูไทยเพื่อประชาชน,38,กรุงเทพ
สามัญชน,กรุงเทพมหานคร,11,สามัญชน,37,กรุงเทพ
ประชาธรรมไทย,กรุงเทพมหานคร,11,ประชาธรรมไทย,33,กรุงเทพ
ภาคีเครือข่ายไทย,กรุงเทพมหานคร,11,ภาคีเครือข่ายไทย,26,กรุงเทพ
ประชาไทย,กรุงเทพมหานคร,11,ประชาไทย,23,กรุงเทพ
พลังปวงชนไทย,กรุงเทพมหานคร,11,พลังปวงชนไทย,19,กรุงเทพ
พลังไทสร้างชาติ,กรุงเทพมหานคร,11,พลังไทสร้างชาติ,18,กรุงเทพ
เพื่อไทย,กรุงเทพมหานคร,12,เพื่อไทย,30254,กรุงเทพ
อนาคตใหม่,กรุงเทพมหานคร,12,อนาคตใหม่,27629,กรุงเทพ
พลังประชารัฐ,กรุงเทพมหานคร,12,พลังประชารัฐ,27571,กรุงเทพ
ประชาธิปัตย์,กรุงเทพมหานคร,12,ประชาธิปัตย์,11075,กรุงเทพ
เศรษฐกิจใหม่,กรุงเทพมหานคร,12,เศรษฐกิจใหม่,5174,กรุงเทพ
ภูมิใจไทย,กรุงเทพมหานคร,12,ภูมิใจไทย,4057,กรุงเทพ
เสรีรวมไทย,กรุงเทพมหานคร,12,เสรีรวมไทย,2394,กรุงเทพ
รวมพลังประชาชาติไทย,กรุงเทพมหานคร,12,รวมพลังประชาชาติไทย,625,กรุงเทพ
รักษ์ผืนป่าประเทศไทย,กรุงเทพมหานคร,12,รักษ์ผืนป่าประเทศไทย,510,กรุงเทพ
พลังท้องถิ่นไท,กรุงเทพมหานคร,12,พลังท้องถิ่นไท,436,กรุงเทพ
ชาติไทยพัฒนา,กรุงเทพมหานคร,12,ชาติไทยพัฒนา,345,กรุงเทพ
เพื่อชาติ,กรุงเทพมหานคร,12,เพื่อชาติ,304,กรุงเทพ
ชาติพัฒนา,กรุงเทพมหานคร,12,ชาติพัฒนา,181,กรุงเทพ
ประชากรไทย,กรุงเทพมหานคร,12,ประชากรไทย,145,กรุงเทพ
ประชาชนปฏิรูป,กรุงเทพมหานคร,12,ประชาชนปฏิรูป,143,กรุงเทพ
พลังธรรมใหม่,กรุงเทพมหานคร,12,พลังธรรมใหม่,139,กรุงเทพ
ประชาชาติ,กรุงเทพมหานคร,12,ประชาชาติ,127,กรุงเทพ
ประชาภิวัฒน์,กรุงเทพมหานคร,12,ประชาภิวัฒน์,118,กรุงเทพ
ประชาธิปไตยใหม่,กรุงเทพมหานคร,12,ประชาธิปไตยใหม่,106,กรุงเทพ
พลังไทยรักไทย,กรุงเทพมหานคร,12,พลังไทยรักไทย,78,กรุงเทพ
ประชาไทย,กรุงเทพมหานคร,12,ประชาไทย,63,กรุงเทพ
ทางเลือกใหม่,กรุงเทพมหานคร,12,ทางเลือกใหม่,58,กรุงเทพ
ประชาธรรมไทย,กรุงเทพมหานคร,12,ประชาธรรมไทย,56,กรุงเทพ
ครูไทยเพื่อประชาชน,กรุงเทพมหานคร,12,ครูไทยเพื่อประชาชน,47,กรุงเทพ
ประชานิยม,กรุงเทพมหานคร,12,ประชานิยม,41,กรุงเทพ
พลังชาติไทย,กรุงเทพมหานคร,12,พลังชาติไทย,41,กรุงเทพ
ภาคีเครือข่ายไทย,กรุงเทพมหานคร,12,ภาคีเครือข่ายไทย,37,กรุงเทพ
มหาชน,กรุงเทพมหานคร,12,มหาชน,30,กรุงเทพ
ภราดรภาพ,กรุงเทพมหานคร,12,ภราดรภาพ,30,กรุงเทพ
พลังปวงชนไทย,กรุงเทพมหานคร,12,พลังปวงชนไทย,30,กรุงเทพ
พลังไทสร้างชาติ,กรุงเทพมหานคร,12,พลังไทสร้างชาติ,28,กรุงเทพ
เพื่อแผ่นดิน,กรุงเทพมหานคร,12,เพื่อแผ่นดิน,27,กรุงเทพ
มติประชา,กรุงเทพมหานคร,12,มติประชา,16,กรุงเทพ
พลังประชารัฐ,กรุงเทพมหานคร,13,พลังประชารัฐ,27417,กรุงเทพ
เพื่อไทย,กรุงเทพมหานคร,13,เพื่อไทย,23874,กรุงเทพ
อนาคตใหม่,กรุงเทพมหานคร,13,อนาคตใหม่,23652,กรุงเทพ
ประชาธิปัตย์,กรุงเทพมหานคร,13,ประชาธิปัตย์,17974,กรุงเทพ
เศรษฐกิจใหม่,กรุงเทพมหานคร,13,เศรษฐกิจใหม่,4795,กรุงเทพ
เสรีรวมไทย,กรุงเทพมหานคร,13,เสรีรวมไทย,2101,กรุงเทพ
