Name,Title,IsMp,IsSenator,IsCabinet,IsActive,MpType,MpProvince,MpZone,MpList,Vote,SenatorMethod,CabinetPosition0,CabinetPosition1,Gender,Birthdate,Education,Graduation,Degree,ExOccupation0,ExOccupation1,OccupationGroup,Quotes,QuotesUrl,Asset,Facebook,Twitter,Bio,PeoplePartyHistory,PeopleVotes,Debt,NcpoRelation,Images,NcpoType
เฉลิมชัย ศรีอ่อน,นาย,false,false,true,true,,,,,,,รัฐมนตรีว่าการกระทรวงเกษตรและสหกรณ์,,ชาย,1957-03-07,ปริญญาโท,มหาวิทยาลัยเกริก,ศิลปศาสตรมหาบัณฑิต (นโยบายและการวางแผน),รัฐมนตรีว่าการกระทรวงแรงงาน,เลขาธิการพรรคประชาธิปัตย์,การเมือง,,,97204912.97,https://www.facebook.com/Chalermchai.S.DP/,,,เฉลิมชัย ศรีอ่อน,,,false,%E0%B9%80%E0%B8%89%E0%B8%A5%E0%B8%B4%E0%B8%A1%E0%B8%8A%E0%B8%B1%E0%B8%A2-%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%AD%E0%B9%88%E0%B8%AD%E0%B8%99.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B9%80%E0%B8%89%E0%B8%A5%E0%B8%B4%E0%B8%A1%E0%B8%8A%E0%B8%B1%E0%B8%A2-%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%AD%E0%B9%88%E0%B8%AD%E0%B8%99.jpg),
มนัญญา ไทยเศรษฐ์,นางสาว,false,false,true,true,,,,,,,รัฐมนตรีช่วยว่าการกระทรวงเกษตรและสหกรณ์,,หญิง,,ปริญญาตรี,มหาวิทยาลัยศรีนครินทรวิโรฒ,,นายกเทศมนตรี เทศบาลเมืองอุทัยธานี,,การเมือง,ทางเลือกมันมีมากอยู่แล้ว สมัยก่อนก็ไม่มี 3 สารนี้ ประเทศไทย แผ่นดินไทยอุดมสมบูรณ์ แต่ 3 สารเนี่ยมาแล้วมันง่าย มันเร็ว ตายเร็ว ฉีดปั๊บตายปุ๊บ อาจจะเป็นเพราะว่าคนเดี๋ยวนี้ใจร้อนขึ้น ทำไมเราไม่ใช้ตัวยาที่มันมีพิษน้อยลง หรือไม่หญ้าเนี่ย ถ้าเรามองมันเป็นมิตร มันก็จะอยู่กับเราอย่างมิตร แต่ถ้าเรามองเป็นศัตรู ถึงเวลามันก็จะตายตามระบบอยู่แล้ว,https://mgronline.com/onlinesection/detail/9620000096050,67801135.64,https://www.facebook.com/thaiset.mananya,,,มนัญญา ไทยเศรษฐ์,,,false,%E0%B8%A1%E0%B8%99%E0%B8%B1%E0%B8%8D%E0%B8%8D%E0%B8%B2-%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B9%80%E0%B8%A8%E0%B8%A3%E0%B8%A9%E0%B8%90%E0%B9%8C.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%A1%E0%B8%99%E0%B8%B1%E0%B8%8D%E0%B8%8D%E0%B8%B2-%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B9%80%E0%B8%A8%E0%B8%A3%E0%B8%A9%E0%B8%90%E0%B9%8C.jpg),
สนธิรัตน์ สนธิจิรวงศ์,นาย,false,false,true,false,,,,,,,รัฐมนตรีว่าการกระทรวงพลังงาน,,ชาย,1960-03-19,ปริญญาโท,จุฬาลงกรณ์มหาวิทยาลัย,บริหารธุรกิจมหาบัณฑิต,รัฐมนตรีว่าการกระทรวงพาณิชย์,รัฐมนตรีช่วยว่าการกระทรวงพาณิชย์,การเมือง,,,149131970.98000002,https://www.facebook.com/Sontirat.S/,,ลาออกจากตำแหน่ง สิ้นสุดเมื่อ 16 กรกฏาคม พ.ศ. 2563,สนธิรัตน์ สนธิจิรวงศ์,,,false,%E0%B8%AA%E0%B8%99%E0%B8%98%E0%B8%B4%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%8C-%E0%B8%AA%E0%B8%99%E0%B8%98%E0%B8%B4%E0%B8%88%E0%B8%B4%E0%B8%A3%E0%B8%A7%E0%B8%87%E0%B8%A8%E0%B9%8C.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%AA%E0%B8%99%E0%B8%98%E0%B8%B4%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%8C-%E0%B8%AA%E0%B8%99%E0%B8%98%E0%B8%B4%E0%B8%88%E0%B8%B4%E0%B8%A3%E0%B8%A7%E0%B8%87%E0%B8%A8%E0%B9%8C.jpg),
วีรศักดิ์ หวังศุภกิจโกศล,นาย,false,false,true,true,,,,,,,รัฐมนตรีช่วยว่าการกระทรวงคมนาคม,,ชาย,1955-11-20,ปริญญาตรี,มหาวิทยาลัยรามคำแหง,ศิลปศาสตรบัณฑิต (รัฐศาสตร์),นักธุรกิจ,กำนัน,เอกชน,,,,https://www.facebook.com/DeputyMinister.Weerasak.W/,,"ลาออกจาก ส.ส. บัญชีรายชื่อบัญชีรายชื่อลำดับที่ 7 พรรคภูมิใจไทย เมื่อวันที่ 23 กรกฎาคม 62
ได้รับการแต่งตั้งรัฐมนตรีเพื่อบริหารราชการแผ่นดิน ตามประกาศ ณ วันที่ 22 มีนาคม พ.ศ. 2564 เป็นปีที่ 6 ในรัชกาลปัจจุบัน","วีรศักดิ์ หวังศุภกิจโกศล, วีรศักดิ์ หวังศุภกิจโกศล",,,false,%E0%B8%A7%E0%B8%B5%E0%B8%A3%E0%B8%A8%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B4%E0%B9%8C-%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%87%E0%B8%A8%E0%B8%B8%E0%B8%A0%E0%B8%81%E0%B8%B4%E0%B8%88%E0%B9%82%E0%B8%81%E0%B8%A8%E0%B8%A5.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%A7%E0%B8%B5%E0%B8%A3%E0%B8%A8%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B4%E0%B9%8C-%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%87%E0%B8%A8%E0%B8%B8%E0%B8%A0%E0%B8%81%E0%B8%B4%E0%B8%88%E0%B9%82%E0%B8%81%E0%B8%A8%E0%B8%A5.jpg),
อนุพงษ์ เผ่าจินดา,พลเอก,false,false,true,true,,,,,,,รัฐมนตรีว่าการกระทรวงมหาดไทย,,ชาย,1949-10-10,ปริญญาโท,มหาวิทยาลัยแห่งชาติรัสเซีย (ไม่พบข้อมูลที่ระบุชื่อมหาวิทยาลัย),มหาบัณฑิตกิตติมศักดิ์ วิชาคอมมิวนิสต์,ผู้บัญชาการทหารบก,ที่ปรึกษาคณะรักษาความสงบแห่งชาติ,ทหาร,,,,,,,,,,false,%E0%B8%AD%E0%B8%99%E0%B8%B8%E0%B8%9E%E0%B8%87%E0%B8%A9%E0%B9%8C-%E0%B9%80%E0%B8%9C%E0%B9%88%E0%B8%B2%E0%B8%88%E0%B8%B4%E0%B8%99%E0%B8%94%E0%B8%B2.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%AD%E0%B8%99%E0%B8%B8%E0%B8%9E%E0%B8%87%E0%B8%A9%E0%B9%8C-%E0%B9%80%E0%B8%9C%E0%B9%88%E0%B8%B2%E0%B8%88%E0%B8%B4%E0%B8%99%E0%B8%94%E0%B8%B2.jpg),
นิพนธ์ บุญญามณี,นาย,false,false,true,false,,,,,,,รัฐมนตรีช่วยว่าการกระทรวงมหาดไทย,,ชาย,1958-07-22,ปริญญาโท,สถาบันบัณฑิตพัฒนบริหารศาสตร์ (NIDA),รัฐประศาสนศาสตรมหาบัณฑิต,นายกองค์การบริหารส่วนจังหวัดสงขลา,สมาชิกสภาผู้แทนราษฎร,การเมือง,,,121141055.03,https://www.facebook.com/NiphonPao/,,ลาออก จากตำแหน่ง ครม. ตั้งแต่วันที่ 5 กันยายน 2565,นิพนธ์ บุญญามณี,,,false,%E0%B8%99%E0%B8%B4%E0%B8%9E%E0%B8%99%E0%B8%98%E0%B9%8C-%E0%B8%9A%E0%B8%B8%E0%B8%8D%E0%B8%8D%E0%B8%B2%E0%B8%A1%E0%B8%93%E0%B8%B5.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%99%E0%B8%B4%E0%B8%9E%E0%B8%99%E0%B8%98%E0%B9%8C-%E0%B8%9A%E0%B8%B8%E0%B8%8D%E0%B8%8D%E0%B8%B2%E0%B8%A1%E0%B8%93%E0%B8%B5.jpg),
ทรงศักดิ์ ทองศรี,ดร.,false,false,true,true,,,,,,,รัฐมนตรีช่วยว่าการกระทรวงมหาดไทย,,ชาย,1958-04-20,ปริญญาเอก,มหาวิทยาลัยอีสเทิร์นเอเชีย,รัฐประศาสนศาสตรดุษฎีบัณฑิต,รัฐมนตรีช่วยว่าการกระทรวงคมนาคม,,การเมือง,,,,,,ลาออกจาก ส.ส. บัญชีรายชื่อลำดับที่ 6 พรรคภูมิใจไทย เมื่อวันที่ 23 กรกฎาคม 62,ทรงศักดิ์ ทองศรี,,,false,%E0%B8%97%E0%B8%A3%E0%B8%87%E0%B8%A8%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B4%E0%B9%8C-%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%A8%E0%B8%A3%E0%B8%B5.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%97%E0%B8%A3%E0%B8%87%E0%B8%A8%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B4%E0%B9%8C-%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%A8%E0%B8%A3%E0%B8%B5.jpg),
จัตุมงคล โสณกุล,หม่อมราชวงศ์,false,false,true,false,,,,,,,รัฐมนตรีว่าการกระทรวงแรงงาน,,ชาย,1943-09-28,ปริญญาโท,"John F. Kennedy School of Government, Harvard University, US",Master in Public Administration,ผู้ว่าการธนาคารแห่งประเทศไทย,,องค์กรรัฐ/รัฐวิสาหกิจ,,,,https://www.facebook.com/momtau/,,"ลาออกจาก ส.ส. บัญชีรายชื่อพรรคลำดับที่ 1 รวมพลังประชาชาติไทย เมื่อวันที่ 30 กรกฎาคม 62
ลาออกจากตำแหน่ง สิ้นสุดวาระตั้งแต่วันที่ 21 กรกฏาคม พ.ศ. 2563",,,,false,%E0%B8%88%E0%B8%B1%E0%B8%95%E0%B8%B8%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5-%E0%B9%82%E0%B8%AA%E0%B8%93%E0%B8%81%E0%B8%B8%E0%B8%A5.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%88%E0%B8%B1%E0%B8%95%E0%B8%B8%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5-%E0%B9%82%E0%B8%AA%E0%B8%93%E0%B8%81%E0%B8%B8%E0%B8%A5.jpg),
อิทธิพล คุณปลื้ม,นาย,false,false,true,true,,,,,,,รัฐมนตรีว่าการกระทรวงวัฒนธรรม,,ชาย,1973-12-15,ปริญญาโท,"Golden Gate University, US",นิติศาสตรมหาบัณฑิต,นายกเมืองพัทยา,,การเมือง,,,81489725.5,https://www.facebook.com/ItthipolKun/,,,อิทธิพล คุณปลื้ม,,,false,%E0%B8%AD%E0%B8%B4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B8%9E%E0%B8%A5-%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B9%89%E0%B8%A1.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%AD%E0%B8%B4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B8%9E%E0%B8%A5-%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%9B%E0%B8%A5%E0%B8%B7%E0%B9%89%E0%B8%A1.jpg),
กัลยา โสภณพนิช,ดร. คุณหญิง,false,false,true,true,,,,,,,รัฐมนตรีช่วยว่าการกระทรวงศึกษาธิการ,,หญิง,1940-09-21,ปริญญาเอก,"Imperial College London, England",Ph.D. in High Energy Nuclear Physics,สมาชิกสภาผู้แทนราษฎร,รัฐมนตรีว่าการกระทรวงวิทยาศาสตร์และเทคโนโลยี,การเมือง,,,,https://www.facebook.com/KhunyingKalaya,,,กัลยา โสภณพนิช,,,false,%E0%B8%81%E0%B8%B1%E0%B8%A5%E0%B8%A2%E0%B8%B2-%E0%B9%82%E0%B8%AA%E0%B8%A0%E0%B8%93%E0%B8%9E%E0%B8%99%E0%B8%B4%E0%B8%8A.jpg(https://sheets.wevis.info/download/noco/They-Work-For-Us/People/Images/%E0%B8%81%E0%B8%B1%E0%B8%A5%E0%B8%A2%E0%B8%B2-%E0%B9%82%E0%B8%AA%E0%B8%A0%E0%B8%93%E0%B8%9E%E0%B8%99%E0%B8%B4%E0%B8%8A.jpg),
